,spotId,cellCount
2533,X8x40,10
669,X22x60,5
670,X114x12,10
2534,X105x35,10
671,X86x20,9
2535,X39x53,10
672,X80x56,12
673,X16x50,12
674,X59x27,9
675,X104x16,14
676,X94x72,7
677,X104x52,14
678,X37x53,8
2536,X29x47,10
679,X72x20,11
680,X70x18,9
681,X84x24,11
2537,X103x43,10
682,X29x33,6
683,X72x24,6
684,X43x31,8
685,X98x42,13
686,X103x15,13
687,X37x49,4
688,X81x37,13
689,X91x55,14
690,X51x35,8
691,X107x59,11
692,X57x39,10
693,X36x56,11
694,X87x15,11
695,X74x48,11
696,X101x59,13
697,X51x65,5
698,X48x34,8
699,X85x53,16
700,X111x55,8
701,X51x53,11
702,X99x31,9
703,X50x50,9
704,X57x51,14
705,X70x26,17
706,X48x54,9
707,X102x66,15
708,X46x26,6
709,X108x22,11
2538,X17x55,10
710,X2x52,17
711,X78x28,14
712,X100x50,13
713,X74x62,12
714,X77x23,11
715,X95x15,15
716,X43x53,6
717,X59x33,13
718,X90x28,12
719,X22x48,13
720,X28x32,9
721,X60x44,8
722,X85x65,13
723,X43x39,8
724,X28x56,15
725,X73x49,9
726,X101x19,11
2539,X4x64,10
727,X102x20,12
728,X18x48,14
729,X91x25,13
730,X99x25,14
731,X3x45,11
732,X66x42,13
733,X83x25,9
734,X92x52,16
735,X51x29,7
736,X94x36,12
737,X72x58,13
738,X14x42,20
2540,X0x56,10
739,X55x61,13
740,X31x37,5
741,X63x39,9
742,X48x36,9
743,X113x37,13
744,X87x69,10
745,X42x54,6
746,X77x15,5
747,X93x65,13
2541,X31x45,10
748,X102x18,9
749,X55x43,9
2542,X24x48,10
750,X94x52,12
751,X92x54,12
752,X58x42,8
753,X100x18,13
754,X99x37,16
755,X106x40,7
756,X79x59,11
757,X69x21,9
758,X103x45,10
759,X21x43,4
760,X98x26,19
761,X101x55,10
762,X82x56,9
763,X85x21,8
764,X73x45,16
765,X7x59,6
766,X66x26,8
767,X103x69,11
768,X90x54,17
769,X111x15,12
770,X85x49,16
771,X101x71,14
772,X65x19,8
773,X52x26,9
774,X115x25,3
775,X85x25,12
776,X48x50,6
777,X48x22,9
778,X113x51,13
779,X37x31,7
780,X52x52,6
781,X62x20,6
782,X71x33,8
783,X109x69,14
784,X42x34,6
785,X84x14,6
786,X49x37,13
787,X93x19,10
788,X85x29,13
789,X49x39,9
790,X92x48,13
2543,X5x55,10
791,X40x52,5
792,X75x37,9
793,X109x41,8
794,X75x17,10
795,X27x47,8
796,X107x35,8
797,X80x72,10
2544,X21x39,10
798,X106x58,16
2545,X36x52,10
799,X84x28,13
800,X65x37,12
801,X65x63,5
2546,X21x37,10
802,X53x27,9
803,X91x27,8
804,X8x42,14
805,X86x24,7
806,X59x59,11
807,X89x73,4
808,X5x51,12
2547,X102x30,10
809,X4x60,5
810,X62x18,9
811,X103x53,15
812,X62x50,9
813,X98x38,17
814,X98x56,12
815,X53x35,6
816,X42x32,5
817,X39x33,4
818,X71x55,11
819,X88x34,15
820,X35x43,7
821,X96x68,10
822,X33x39,7
823,X3x49,14
824,X105x21,12
825,X111x53,20
826,X12x52,13
827,X82x42,15
828,X11x45,15
829,X74x20,12
830,X108x48,18
831,X67x49,13
832,X57x65,3
833,X17x53,17
834,X28x40,4
2548,X39x57,10
835,X51x23,6
836,X4x44,12
837,X106x52,14
838,X86x70,8
839,X3x47,14
840,X24x60,13
841,X106x50,10
842,X39x31,6
843,X19x41,9
2549,X24x34,10
844,X5x47,12
845,X109x63,9
846,X56x50,7
847,X18x44,5
848,X71x49,13
849,X5x61,4
850,X111x57,9
851,X26x54,16
852,X97x13,9
853,X112x46,18
854,X112x18,10
855,X101x37,12
2550,X20x38,10
856,X76x36,16
857,X107x69,14
858,X66x56,8
859,X12x54,4
860,X97x15,9
861,X7x43,14
862,X9x39,6
863,X3x63,5
864,X45x51,7
2551,X26x32,10
865,X63x45,10
866,X69x71,6
867,X99x63,11
868,X35x47,6
869,X113x27,8
870,X56x58,11
871,X111x35,9
872,X2x58,4
873,X11x47,14
874,X76x32,7
875,X86x36,14
876,X32x38,8
2552,X114x38,10
877,X42x56,17
878,X77x33,5
879,X96x60,14
880,X104x60,12
881,X27x53,8
882,X111x17,8
883,X106x24,16
884,X36x48,8
885,X88x20,12
2553,X22x40,10
886,X82x14,7
887,X68x42,13
888,X114x52,8
889,X89x49,15
890,X93x21,8
2554,X33x51,10
891,X49x27,12
892,X88x36,11
893,X11x51,14
894,X81x55,16
2555,X45x55,10
895,X10x60,11
896,X52x62,3
897,X77x19,12
898,X111x37,4
2556,X24x62,10
899,X69x29,14
900,X68x68,11
901,X92x62,9
902,X0x52,7
903,X102x28,10
904,X97x27,12
905,X33x33,7
906,X8x38,11
907,X96x62,9
908,X74x18,10
909,X95x21,10
910,X59x57,10
911,X85x41,12
912,X73x23,10
913,X26x52,14
914,X36x34,8
915,X75x15,4
916,X61x53,10
917,X85x37,14
918,X71x23,15
919,X61x45,14
920,X50x26,6
921,X113x39,12
922,X43x29,12
923,X69x59,12
924,X41x37,3
2557,X24x40,10
925,X67x29,15
926,X114x36,11
927,X62x36,7
928,X94x58,15
929,X47x61,3
930,X61x69,9
931,X15x43,17
932,X73x19,10
933,X109x55,12
934,X50x58,8
935,X95x25,14
936,X6x58,12
937,X33x41,11
938,X96x50,13
939,X49x49,8
940,X15x47,11
941,X105x19,13
942,X35x33,6
943,X22x62,3
2558,X20x62,10
944,X57x63,12
945,X95x43,14
946,X94x46,13
947,X42x36,6
948,X12x48,16
949,X0x46,17
950,X10x50,11
951,X89x23,11
952,X109x33,9
953,X61x43,13
954,X98x72,10
955,X73x29,9
956,X7x45,12
957,X88x64,15
958,X104x56,12
959,X67x17,12
960,X71x29,16
